Old_name	New_name	Library_name	Population	Position_in_cluster	Genetic_sex_wgs	Read_count	Coverage	Bioproject	REF_Panel	Unrelated	In_lowcov	Comments	lon	lat
CH29	M011971	TSP29	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP29/TSP29.bam	1	237452988	17.1227	PRJNA925445	1	0	0		6.831970438	46.81241908
CH30	M026271	TSP30	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP30/TSP30.bam	1	211541219	16.1328	PRJNA925445	1	0	0		7.083168	46.990143
M001542E4	M001542	P2_M001542E4	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_M001542E4/M001542E4.bam	1	164115506	17.095	NA	1	0	0		6.9572744865986	46.8339569917039
M001670D6	M001670	P3_M001670D6	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P3_M001670D6/M001670D6.bam	1	234678377	24.7716	NA	1	0	0		6.97398981806481	46.8199391247446
M003801F2	M003801	P2_M003801F2	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_M003801F2/M003801F2.bam	1	147446484	15.5084	NA	1	1	0		6.9572744865986	46.8339569917039
M004207A1	M004207	M004207A1	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M004207A1/M004207A1.bam	2	111194085	11.6554	NA	1	1	0		6.9572744865986	46.8339569917039
M004500E9	M004500	M004500E9	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M004500E9/M004500E9.bam	2	137169905	14.7802	NA	1	1	0		6.7200304252841	46.7812385205119
M005013G1	M005013	P3_M005013G1	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M005013G1/P3_M005013G1.bam	1	115623372	7.9684	NA	1	0	0		7.02313225046951	46.91491328347
M005025H1	M005025	P3_M005025H1	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M005025H1/P3_M005025H1.bam	1	153147763	10.4096	NA	1	0	0		7.02313225046951	46.91491328347
M005026A2	M005026	P3_M005026A2	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M005026A2/P3_M005026A2.bam	1	143914745	10.0167	NA	1	0	0		7.02313225046951	46.91491328347
M005170F3	M005170	P3_M005170F3	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M005170F3/P3_M005170F3.bam	2	149792662	11.2975	NA	1	0	0		6.98117987446983	46.8929664989639
M005188B4	M005188	P3_M005188B4	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M005188B4/P3_M005188B4.bam	1	129538117	9.027	NA	1	0	0		6.98117987446983	46.8929664989639
M005219H9	M005219	P2_M005219H9	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M005219H9/P2_M005219H9.bam	2	119091596	9.2115	NA	1	0	0		7.02313225046951	46.91491328347
M005220A10	M005220	M005220A10	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M005220A10/M005220A10.bam	2	126611040	10.2446	NA	1	0	0		7.02313225046951	46.91491328347
M005221B10	M005221	M005221B10	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M005221B10/M005221B10.bam	1	126926254	9.9303	NA	1	0	0		6.98117987446983	46.8929664989639
M005222C10	M005222	M005222C10	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M005222C10/M005222C10.bam	1	149566242	11.2198	NA	1	0	0		6.98117987446983	46.8929664989639
M005238D10	M005238	M005238D10	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M005238D10/M005238D10.bam	2	133812068	13.9123	NA	1	1	0		6.98117987446983	46.8929664989639
M005415E2	M005415	P2_M005415E2	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_M005415E2/M005415E2.bam	2	147719696	15.355	NA	1	1	0		6.8670782248886	46.8173653829332
M005447C4	M005447	P3_M005447C4	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M005447C4/P3_M005447C4.bam	1	182603262	11.7884	NA	1	0	0		6.97931806144855	46.8051809766415
M005448D4	M005448	P3_M005448D4	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M005448D4/P3_M005448D4.bam	1	180853664	12.5635	NA	1	0	0		7.02313225046951	46.91491328347
M005452G2	M005452	P3_M005452G2	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P3_M005452G2/M005452G2.bam	2	169287061	17.4617	NA	1	0	0		7.02313225046951	46.91491328347
M005469C3	M005469	P2_M005469C3	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_M005469C3/M005469C3.bam	2	135617154	14.2697	NA	1	1	0		6.90837346201792	46.8708203544548
M005472B2	M005472	P3_M005472B2	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M005472B2/P3_M005472B2.bam	2	161830394	10.7638	NA	1	0	0		6.86542821921764	46.8265619337549
M005473C2	M005473	P3_M005473C2	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M005473C2/P3_M005473C2.bam	1	127615349	8.7764	NA	1	0	0		7.02127777800684	46.8307901806985
M005673F4	M005673	P2_M005673F4	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M005673F4/P2_M005673F4.bam	2	203583638	14.6552	NA	1	1	0		6.86444763120679	46.8484702959729
M006413D9	M006413	M006413D9	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M006413D9/M006413D9.bam	1	119157432	12.8032	NA	1	0	0		6.90837346201792	46.8708203544548
M010969G4	M010969	M010969G4	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M010969G4/M010969G4.bam	2	108942843	11.6441	NA	1	0	0		6.90837346201792	46.8708203544548
M011005E4	M011005	P3_M011005E4	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M011005E4/P3_M011005E4.bam	1	180599375	11.7085	NA	1	0	0		6.89650557874618	46.8770526244646
M011008F4	M011008	P3_M011008F4	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M011008F4/P3_M011008F4.bam	1	143179870	9.9003	NA	1	0	0		6.53153524773063	46.6123809613578
M011011H2	M011011	P3_M011011H2	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M011011H2/P3_M011011H2.bam	1	69712398	6.0732	NA	0	0	0	removed from REF panel becasue of low DP	7.01741910490642	46.8683321349841
M011012D3	M011012	P3_M011012D3	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M011012D3/P3_M011012D3.bam	1	164922984	11.1602	NA	1	0	0		6.8962912001562	46.8150182057466
M011019H2	M011019	P2_M011019H2	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_M011019H2/M011019H2.bam	1	152248031	11.882	NA	1	0	0		6.8962912001562	46.8150182057466
M011021A3	M011021	P3_M011021A3	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M011021A3/P3_M011021A3.bam	2	129532476	8.6799	NA	1	0	0		6.95367583149537	46.8740527680069
M011023B3	M011023	P3_M011023B3	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M011023B3/P3_M011023B3.bam	2	178200433	11.383	NA	1	0	0		6.95367583149537	46.8740527680069
M011024C3	M011024	P3_M011024C3	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M011024C3/P3_M011024C3.bam	1	176278538	11.5976	NA	1	0	0		7.03291285104386	46.8904628863395
M011060D3	M011060	P2_M011060D3	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_M011060D3/M011060D3.bam	1	154726134	11.4662	NA	1	0	0		6.95561334711886	46.9110232954986
M011142F10	M011142	M011142F10	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M011142F10/M011142F10.bam	1	133610448	10.3178	NA	1	0	0		6.95561334711886	46.9110232954986
M011145G10	M011145	M011145G10	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M011145G10/M011145G10.bam	1	149968709	11.3719	NA	1	0	0		6.95561334711886	46.9110232954986
M011146H10	M011146	M011146H10	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M011146H10/M011146H10.bam	1	137405094	10.6868	NA	1	0	0		6.95561334711886	46.9110232954986
M011147A11	M011147	M011147A11	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M011147A11/M011147A11.bam	1	126142245	10.7978	NA	1	0	0		6.91607726539742	46.8379591093899
